Fecha,Descripcion,Cargo,Abono,Referencia
01/05/2026,DEPOSITO NOMINA EMPRESA XYZ,,45000.00,NOM-2026-05
01/05/2026,RENTA DEPARTAMENTO MAYO,12000.00,,TRF-001
02/05/2026,CFE LUZ MAYO,1850.00,,CFE-4521
02/05/2026,TELMEX INTERNET MAYO,599.00,,TEL-8832
03/05/2026,WALMART SUPER,3245.80,,WMT-5521
03/05/2026,NETFLIX MENSUAL,219.00,,NFLX-001
04/05/2026,SPOTIFY PREMIUM,115.00,,SPOT-001
04/05/2026,UBER VIAJE OFICINA,187.50,,UBER-221
05/05/2026,STARBUCKS CAFE,95.00,,SBX-112
05/05/2026,YOUTUBE MUSIC,79.00,,YTM-001
06/05/2026,GAS NATURAL MAYO,420.00,,GAS-332
06/05/2026,OXXO COMPRA,67.50,,OXX-445
07/05/2026,DISNEY PLUS MENSUAL,159.00,,DSN-001
07/05/2026,AMAZON PRIME MENSUAL,99.00,,AMZ-001
08/05/2026,RESTAURANTE LA BUENA MESA,1250.00,,REST-112
08/05/2026,GASOLINA PEMEX,1100.00,,PMX-221
09/05/2026,SEGURO GNP AUTO,2100.00,,GNP-443
09/05/2026,HBO MAX MENSUAL,149.00,,HBO-001
10/05/2026,UBER EATS PEDIDO,345.00,,UBE-334
10/05/2026,CHATGPT PLUS,399.00,,OAI-001
11/05/2026,FARMACIA GUADALAJARA,567.00,,FG-221
11/05/2026,OXXO COMPRA,45.00,,OXX-446
12/05/2026,COSTCO COMPRA MENSUAL,4500.00,,CST-112
12/05/2026,PLATZI SUSCRIPCION,299.00,,PLT-001
13/05/2026,SMART FIT GYM,499.00,,SMF-001
13/05/2026,APPLE ICLOUD,29.00,,APL-001
14/05/2026,UBER VIAJE,156.00,,UBER-222
14/05/2026,STARBUCKS CAFE,89.00,,SBX-113
15/05/2026,DEPOSITO FREELANCE,,8500.00,FRL-2026-05
15/05/2026,PAGO TARJETA CREDITO BBVA,5500.00,,BBVA-MIN
16/05/2026,CANVA PRO MENSUAL,129.00,,CNV-001
16/05/2026,APPLE MUSIC,99.00,,APM-001
17/05/2026,SORIANA SUPER,1890.00,,SOR-223
17/05/2026,CINEPOLIS BOLETOS,520.00,,CIN-112
18/05/2026,UBER VIAJE,198.00,,UBER-223
18/05/2026,NOTION SUSCRIPCION,80.00,,NOT-001
19/05/2026,RESTAURANTE SUSHI ROLL,890.00,,REST-113
19/05/2026,OXXO COMPRA,55.00,,OXX-447
20/05/2026,PARAMOUNT PLUS,79.00,,PRM-001
20/05/2026,DROPBOX PLUS,199.00,,DRB-001
21/05/2026,GASOLINA PEMEX,950.00,,PMX-222
21/05/2026,ESTACIONAMIENTO PLAZA,85.00,,EST-112
22/05/2026,SEGURO GNP AUTO,2100.00,,GNP-444
22/05/2026,LIVERPOOL COMPRA,3200.00,,LVP-334
23/05/2026,UBER EATS PEDIDO,275.00,,UBE-335
23/05/2026,STARBUCKS CAFE,78.00,,SBX-114
24/05/2026,7ELEVEN COMPRA,92.00,,7EL-223
24/05/2026,FIGMA SUSCRIPCION,199.00,,FIG-001
25/05/2026,RESTAURANTE TACOS EL PASTOR,180.00,,REST-114
25/05/2026,TRANSFERENCIA MAMA,3000.00,,TRF-FAM
